cliente_id,nombre_cliente,segmento
1,Ana López,Corporativo
2,Carlos Pérez,Minorista
3,María García,Corporativo
4,Juan Hernández,Corporativo
5,Lucía Martínez,Minorista
6,Pedro Sánchez,Minorista
7,Sofía Ramírez,Corporativo
8,Diego Torres,Mayorista
9,Valeria Flores,Corporativo
10,Luis Gómez,Corporativo
11,Fernanda Ruiz,Corporativo
12,Jorge Morales,Corporativo
13,Paola Castillo,Minorista
14,Miguel Vargas,Corporativo
15,Daniela Cruz,Mayorista
16,Ricardo Reyes,Minorista
17,Camila Ortega,Mayorista
18,Emilio Navarro,Mayorista
19,Andrea Mendoza,Mayorista
20,Hugo Aguilar,Mayorista
